epoch,batch_idx,data_type,loss,run_time
270,0,val,39.043194,0.28
270,1,val,43.059826,0.29
271,0,train,32.190289,0.12
271,0,val,39.730701,0.26
271,1,val,44.101288,0.27
272,0,train,25.222811,0.12
272,0,val,39.366653,0.25
272,1,val,48.289051,0.25
273,0,train,33.853863,0.12
273,0,val,41.003265,0.25
273,1,val,47.685318,0.25
274,0,train,33.707478,0.12
274,0,val,38.664604,0.26
274,1,val,48.543114,0.26
275,0,train,22.547142,0.13
275,0,val,44.337639,0.35
275,1,val,42.869576,0.37
276,0,train,31.394066,0.19
276,0,val,38.876644,0.43
276,1,val,43.661545,0.44
277,0,train,25.088139,0.20
277,0,val,38.949886,0.47
277,1,val,41.200241,0.48
278,0,train,25.155102,0.24
278,0,val,39.494827,0.44
278,1,val,42.133026,0.46
279,0,train,29.230576,0.15
279,0,val,39.507935,0.34
279,1,val,42.746258,0.36
280,0,train,29.416090,0.15
280,0,val,39.584129,0.34
280,1,val,48.522667,0.36
281,0,train,25.243101,0.14
281,0,val,39.825966,0.33
281,1,val,46.288708,0.34
282,0,train,29.845303,0.15
282,0,val,42.251408,0.34
282,1,val,42.062607,0.35
283,0,train,25.296267,0.16
283,0,val,39.371826,0.36
283,1,val,44.321655,0.37
284,0,train,23.041655,0.20
284,0,val,38.722401,0.53
284,1,val,42.167652,0.56
285,0,train,27.715132,0.17
285,0,val,38.209160,0.38
285,1,val,41.560509,0.39
286,0,train,34.518738,0.16
286,0,val,39.491070,0.34
286,1,val,42.563843,0.37
287,0,train,30.241287,0.14
287,0,val,39.790348,0.27
287,1,val,51.115150,0.27
288,0,train,20.534861,0.14
288,0,val,38.830952,0.27
288,1,val,42.102661,0.27
289,0,train,28.495714,0.13
289,0,val,40.061825,0.25
289,1,val,45.020184,0.26
290,0,train,28.944580,0.13
290,0,val,42.695919,0.27
290,1,val,45.091877,0.28
291,0,train,39.028912,0.12
291,0,val,40.050640,0.25
291,1,val,43.223637,0.25
292,0,train,27.757801,0.12
292,0,val,39.899780,0.24
292,1,val,42.993271,0.25
293,0,train,38.861301,0.12
293,0,val,38.870956,0.26
293,1,val,44.751175,0.27
294,0,train,18.195881,0.12
294,0,val,39.080723,0.25
294,1,val,41.435165,0.26
295,0,train,25.800356,0.12
295,0,val,40.901150,0.25
295,1,val,48.522114,0.25
296,0,train,24.611416,0.12
296,0,val,41.141949,0.31
296,1,val,41.661633,0.33
297,0,train,28.987459,0.13
297,0,val,39.579521,0.29
297,1,val,44.392189,0.29
298,0,train,29.536390,0.14
298,0,val,43.790730,0.28
298,1,val,53.128654,0.28
299,0,train,27.995184,0.15
299,0,val,39.435947,0.32
299,1,val,49.607910,0.32
